Code,Country,Study,Submission,Documents,Note,Date
AR,Argentina,Pre-Market,Competent Authority,Cover Letter contains Sponsor information,"Name, direction, tel., email",2022-07-15
AR,Argentina,Pre-Market,Competent Authority,Lists of participating centers,"Name, direction, tel., email; list of members in the trial",2022-07-15
AR,Argentina,Pre-Market,Competent Authority,"PI & members CV, GCP",,2022-07-15
AR,Argentina,Pre-Market,Competent Authority,CIP,Signed by the PI,2022-07-15
AR,Argentina,Pre-Market,Competent Authority,PI statement of compliance to the Ethics declarations,,2022-07-15
AR,Argentina,Pre-Market,Competent Authority,Authorization from the Center to conduct the study,,2022-07-15
AR,Argentina,Pre-Market,Competent Authority,Approval from the EC,,2022-07-15
AR,Argentina,Pre-Market,Competent Authority,Patient information & ICF,,2022-07-15
AR,Argentina,Pre-Market,Competent Authority,Contracts between parties,,2022-07-15
AR,Argentina,Post-Market,Competent Authority,Cover Letter contains Sponsor information,"Name, direction, tel., email",2022-07-15
AR,Argentina,Post-Market,Competent Authority,Lists of participating centers,"Name, direction, tel., email; list of members in the trial",2022-07-15
AR,Argentina,Post-Market,Competent Authority,"PI & members CV, GCP",,2022-07-15
AR,Argentina,Post-Market,Competent Authority,CIP,Signed by the PI,2022-07-15
AR,Argentina,Post-Market,Competent Authority,PI statement of compliance to the Ethics declarations,,2022-07-15
AR,Argentina,Post-Market,Competent Authority,Authorization from the Center to conduct the study,,2022-07-15
AR,Argentina,Post-Market,Competent Authority,Approval from the EC,,2022-07-15
AR,Argentina,Post-Market,Competent Authority,Patient information & ICF,,2022-07-15
AR,Argentina,Post-Market,Competent Authority,Contracts between parties,,2022-07-15
BR,Brazil,Pre-Market,Competent Authority,Application Form,Download from ANVISA webpage,2022-07-15
BR,Brazil,Pre-Market,Competent Authority,CIP,,2022-07-15
BR,Brazil,Pre-Market,Competent Authority,Registered clinical trial,Evidence that the clinical trial is registered in the International Clinical Trials Registration Platform / World Health Organization (ICTRP/WHO) or others recognized by the International Committee of Medical Journals Editors (ICMJE),2022-07-15
BR,Brazil,Pre-Market,Competent Authority,Resolution of the EC (CEP),,2022-07-15
BR,Brazil,Post-Market,Competent Authority,Application Form,Download from ANVISA webpage,2022-07-15
BR,Brazil,Post-Market,Competent Authority,CIP,,2022-07-15
BR,Brazil,Post-Market,Competent Authority,Registered clinical trial,Evidence that the clinical trial is registered in the International Clinical Trials Registration Platform / World Health Organization (ICTRP/WHO) or others recognized by the International Committee of Medical Journals Editors (ICMJE),2022-07-15
BR,Brazil,Post-Market,Competent Authority,Resolution of the EC (CEP),,2022-07-15
CA,Canada,Pre-Market,Competent Authority,Instruction (see note),"MD Class I: REB aplication only. MD Class II: The information required under subsections 81(a), (b), (h), (i), and (j) must be submitted. It is not required that evidence of REB approval is provided to Health Canada, but it must be obtained prior to study initiation. Class III: The information required under subsections 81 (a) to (k) must be submitted. However, a “Letter of Authorization” for investigational testing may be issued, prior to the receipt of REB approval. ",2022-07-15
CA,Canada,Pre-Market,Competent Authority,Cover Letter & Executive Summary,Executive Summary (appendix 4),2022-07-15
CA,Canada,Pre-Market,Competent Authority,Table of Contents,,2022-07-15
CA,Canada,Pre-Market,Competent Authority,Application Form,,2022-07-15
CA,Canada,Pre-Market,Competent Authority,Pre-submission Correspondence ,"pre-ITA meetings, application enquiries, classification decisions",2022-07-15
CA,Canada,Pre-Market,Competent Authority,Manufacturer/ Importer identification,Subsection 81a,2022-07-15
CA,Canada,Pre-Market,Competent Authority,"Device Identification. Device Description. Design Philosophy. Intended Use, Contraindications. Marketing History","Subsection 81b, c, d, e.",2022-07-15
CA,Canada,Pre-Market,Competent Authority,Risk Assessment,Subsection 81f,2022-07-15
CA,Canada,Pre-Market,Competent Authority,"Site sustainability. PI CVs, GCPs.",,2022-07-15
CA,Canada,Pre-Market,Competent Authority,Research Ethic Board Approval (REB),See EC Canada. Subsection 81h,2022-07-15
CA,Canada,Pre-Market,Competent Authority,Protocol. IB. ICF. ,Section 81i,2022-07-15
CA,Canada,Pre-Market,Competent Authority,Device Labelling,Section 81j. The device label must be in either English or French,2022-07-15
CA,Canada,Pre-Market,Competent Authority,Investigator Agreements,Subsection 81k,2022-07-15
CA,Canada,Pre-Market,Competent Authority,Assent Form,If aplicable,2022-07-15
CA,Canada,Pre-Market,Competent Authority,How to submit (see note),"Applications will only be accepted in “Non-eCTD Electronic-Only” electronic format, and may be sent by e-mail to: devicelicensing-homologationinstruments@hc-sc.gc.ca. Please be aware that the maximum email size accepted by the corporate email server is twenty (20) MB, and anything larger should be sent by mail (refer to Appendix 1) on a CD or DVD. If the application package is sent on a CD/DVD, ensure that PDF files are no larger than one hundred and fifty (150) MB to ensure they can be accessed efficiently.",2022-07-15
CA,Canada,Post-Market,Competent Authority,Instruction (Note),PMCF no need to submit to CA,2022-07-15
CU,Cuba,Pre-Market,Competent Authority,CIP,,2022-07-15
CU,Cuba,Pre-Market,Competent Authority,Favorable approval of EC,,2022-07-15
CU,Cuba,Pre-Market,Competent Authority,Information of previous clinical trial (If applicable),,2022-07-15
EC,Ecuador,Pre-Market,Competent Authority,Descriptive dossier of the clinical trial,"Annex I, MOH document ",2022-07-15
EC,Ecuador,Pre-Market,Competent Authority,EC approval,,2022-07-15
EC,Ecuador,Pre-Market,Competent Authority,Sponsor delegation to the CRO (contract),,2022-07-15
EC,Ecuador,Pre-Market,Competent Authority,CIP,,2022-07-15
EC,Ecuador,Pre-Market,Competent Authority,IB,,2022-07-15
EC,Ecuador,Pre-Market,Competent Authority,Patient information and ICF,Form Annex 4 ,2022-07-15
EC,Ecuador,Pre-Market,Competent Authority,Declaration of interest ,,2022-07-15
EC,Ecuador,Pre-Market,Competent Authority,Statement of the PI to compromise with the study,,2022-07-15
EC,Ecuador,Pre-Market,Competent Authority,"List of participating center, inclusing all PI & team members",,2022-07-15
EC,Ecuador,Pre-Market,Competent Authority,Inscription of the PI in the database of the MOH,,2022-07-15
EC,Ecuador,Pre-Market,Competent Authority,"PI CV, GCP",,2022-07-15
EC,Ecuador,Pre-Market,Competent Authority,Chronogram of the study ,,2022-07-15
