Code,Country,Study,Submission,Documents,Note,Date
AE,United Arab Emirates,Pre-Market,Competent Authority,Cover Letter on headed paper,Addressed by Principal Investigator to Dubai Scientific research Ethics Committee),2022-07-15
AE,United Arab Emirates,Pre-Market,Competent Authority,Application form,Download from webpage,2022-07-15
AE,United Arab Emirates,Pre-Market,Competent Authority,CIP & all curents admendments,,2022-07-15
AE,United Arab Emirates,Pre-Market,Competent Authority,Synopsis ,in EN,2022-07-15
AE,United Arab Emirates,Pre-Market,Competent Authority,CRF,,2022-07-15
AE,United Arab Emirates,Pre-Market,Competent Authority,IB,,2022-07-15
AE,United Arab Emirates,Pre-Market,Competent Authority,PI have to obtain HOD signature,If multicenter study,2022-07-15
AE,United Arab Emirates,Pre-Market,Competent Authority,Approval from Head of Department and CEO of hospital,If study is conduct in Dubai Hospitals. contact Dubai Hospital Professional Development Office DHPDO@dha.gov.ae to know more.,2022-07-15
AE,United Arab Emirates,Pre-Market,Competent Authority,Approval is required to be obtained from Director of Primary health Care Centers,If Study is conducting at DHA Primary health Care Centers. Contact PHCC Professional Development Office.,2022-07-15
AE,United Arab Emirates,Pre-Market,Competent Authority,CIP,,2022-07-15
AE,United Arab Emirates,Pre-Market,Competent Authority,Synopsis,,2022-07-15
AE,United Arab Emirates,Pre-Market,Competent Authority,Patient Information and Informed Consent,EN & ARABIC. Template available ,2022-07-15
AE,United Arab Emirates,Pre-Market,Competent Authority,All Data collection Forms,"Patient diary, cards, questionnaires …",2022-07-15
AE,United Arab Emirates,Pre-Market,Competent Authority,Budget plan,,2022-07-15
AE,United Arab Emirates,Pre-Market,Competent Authority,Financial Disclosure of Principal Investigator.,,2022-07-15
AE,United Arab Emirates,Pre-Market,Competent Authority,Agreements between parties,to be digned by the PI,2022-07-15
AE,United Arab Emirates,Pre-Market,Competent Authority,"PI CV, GCP",,2022-07-15
AE,United Arab Emirates,Pre-Market,Competent Authority,Proof of insurance ,,2022-07-15
AE,United Arab Emirates,Pre-Market,Competent Authority,CE-mark certification,,2022-07-15
AE,United Arab Emirates,Pre-Market,Competent Authority,Payment ,,2022-07-15
AE,United Arab Emirates,Post-Market,Competent Authority,If non-interventional trial. ,EC submission & evaluation. CA notification only,2022-07-15
AE,United Arab Emirates,Post-Market,Competent Authority,"If interventional, same as in pre-market",,2022-07-15
AU,Australia,Pre-Market,Competent Authority,The application Part 1,Download from web,2022-07-15
AU,Australia,Pre-Market,Competent Authority,Application fee,https://www.tga.gov.au/fees-and-charges-summary-1-december-2021,2022-07-15
AU,Australia,Pre-Market,Competent Authority,Sponsor statement,,2022-07-15
AU,Australia,Pre-Market,Competent Authority,Section 3: Medical devices details,"description of the device; details of design, composition, specification, mode of action and application; and method of use.",2022-07-15
AU,Australia,Pre-Market,Competent Authority,Instruction for sending part 1,The CTA application form can be emailed to us. Supporting data for the CTA application should be provided in electronic format. It is preferable for data to be sent on USB or CD-ROM via post.,2022-07-15
AU,Australia,Pre-Market,Competent Authority,The application Part 2,Download from web,2022-07-15
AU,Australia,Pre-Market,Competent Authority,1.5 Site sustainability,Completed by the sponsor,2022-07-15
AU,Australia,Pre-Market,Competent Authority,1.6 Sponsor certification,Completed by the sponsor,2022-07-15
AU,Australia,Pre-Market,Competent Authority,section 2,Completed by the sponsor,2022-07-15
