Code,Country,Study,Submission,Documents,Note,Date
AT,Austria,Pre-Market,Competent Authority,Application Form ,Download from webpage: https://applicationform.basg.gv.at/mpgform/faces/main. In PDF (signed electronically or scanned signed original) and XML ,2022-07-15
AT,Austria,Pre-Market,Competent Authority,CIP,With version number and date; compiled according to EN ISO 14155,2022-07-15
AT,Austria,Pre-Market,Competent Authority,IB,,2022-07-15
AT,Austria,Pre-Market,Competent Authority,IFU,German ,2022-07-15
AT,Austria,Pre-Market,Competent Authority,Favorable opinion of the EC,,2022-07-15
AT,Austria,Pre-Market,Competent Authority,Patient information and ICF,,2022-07-15
AT,Austria,Pre-Market,Competent Authority,Insurance coverage,,2022-07-15
AT,Austria,Pre-Market,Competent Authority,Written confirmation that the medical device complies with the essential requirements of the applicable Directive in all aspects except those that will be assessed in the CI,Directive 93/42/EEC Annex I &  Directive 90/385/EEC Annex 1,2022-07-15
AT,Austria,Pre-Market,Competent Authority,Declaration of conformity of the manufacturer,,2022-07-15
AT,Austria,Pre-Market,Competent Authority,CE marking certificate,,2022-07-15
AT,Austria,Pre-Market,Competent Authority,"PI CVs, GCPs",Dated and signed,2022-07-15
AT,Austria,Pre-Market,Competent Authority,"Written agreements between the sponsor, monitor, and clinical investigator establishing each party’s responsibilities",,2022-07-15
AT,Austria,Pre-Market,Competent Authority,CRF,,2022-07-15
AT,Austria,Pre-Market,Competent Authority,"Information on the construction and manufacture of the device, especially sterilisation",,2022-07-15
AT,Austria,Pre-Market,Competent Authority,"Results of construction calculations, assessments, technical tests, etc.",,2022-07-15
AT,Austria,Pre-Market,Competent Authority,Results of the risk analysis,"Risk analysis, risk minimisation measures See EN ISO 14971",2022-07-15
AT,Austria,Post-Market,Competent Authority,Application Form ,Download from webpage: https://applicationform.basg.gv.at/mpgform/faces/main. In PDF (signed electronically or scanned signed original) and XML ,2022-07-15
AT,Austria,Post-Market,Competent Authority,CIP,With version number and date; compiled according to EN ISO 14155,2022-07-15
AT,Austria,Post-Market,Competent Authority,IB,,2022-07-15
AT,Austria,Post-Market,Competent Authority,IFU,German ,2022-07-15
AT,Austria,Post-Market,Competent Authority,Favorable opinion of the EC,,2022-07-15
AT,Austria,Post-Market,Competent Authority,Patient information and ICF,,2022-07-15
AT,Austria,Post-Market,Competent Authority,Insurance coverage,,2022-07-15
AT,Austria,Post-Market,Competent Authority,Written confirmation that the medical device complies with the essential requirements of the applicable Directive in all aspects except those that will be assessed in the CI,Directive 93/42/EEC Annex I &  Directive 90/385/EEC Annex 1,2022-07-15
AT,Austria,Post-Market,Competent Authority,Declaration of conformity of the manufacturer,,2022-07-15
AT,Austria,Post-Market,Competent Authority,CE marking certificate,,2022-07-15
AT,Austria,Post-Market,Competent Authority,"PI CVs, GCPs",Dated and signed,2022-07-15
AT,Austria,Post-Market,Competent Authority,"Written agreements between the sponsor, monitor, and clinical investigator establishing each party’s responsibilities",,2022-07-15
AT,Austria,Post-Market,Competent Authority,CRF,,2022-07-15
AT,Austria,Post-Market,Competent Authority,"Information on the construction and manufacture of the device, especially sterilisation",,2022-07-15
AT,Austria,Post-Market,Competent Authority,"Results of construction calculations, assessments, technical tests, etc.",,2022-07-15
AT,Austria,Post-Market,Competent Authority,Results of the risk analysis,"Risk analysis, risk minimisation measures See EN ISO 14971",2022-07-15
BY,Belarus,Pre-Market,Competent Authority,Register the device in the national system,Download form on webpgae. https://rceth.by/ru/Documents/Med/1 ,2022-07-15
BY,Belarus,Pre-Market,Competent Authority,Guide for researcher= IB,,2022-07-15
BY,Belarus,Pre-Market,Competent Authority,Protocol & amendments ,Dated and signed,2022-07-15
BY,Belarus,Pre-Market,Competent Authority,ICF in local language,,2022-07-15
BY,Belarus,Pre-Market,Competent Authority,Subjects recruiment,,2022-07-15
BY,Belarus,Pre-Market,Competent Authority,Documents on the financial aspect,,2022-07-15
BY,Belarus,Pre-Market,Competent Authority,Proof of Insurance,,2022-07-15
BY,Belarus,Pre-Market,Competent Authority,Agreement between the parties,,2022-07-15
BY,Belarus,Pre-Market,Competent Authority,Permission to conduct a clinical trial,,2022-07-15
BY,Belarus,Pre-Market,Competent Authority,"PI & other staffs Cvs, GCPs",,2022-07-15
BY,Belarus,Pre-Market,Competent Authority,IFU ,,2022-07-15
BY,Belarus,Pre-Market,Competent Authority,Invoices (postal receipts) for the supply of the investigated medical device and medical equipment,,2022-07-15
BY,Belarus,Pre-Market,Competent Authority,Other documentations approve by the EC,,2022-07-15
BY,Belarus,Post-Market,Competent Authority,Register the device in the national system,Download form on webpgae. https://rceth.by/ru/Documents/Med/1 ,2022-07-15
BY,Belarus,Post-Market,Competent Authority,Guide for researcher= IB,,2022-07-15
BY,Belarus,Post-Market,Competent Authority,Protocol & amendments ,Dated and signed,2022-07-15
BY,Belarus,Post-Market,Competent Authority,ICF in local language,,2022-07-15
BY,Belarus,Post-Market,Competent Authority,Subjects recruiment,,2022-07-15
BY,Belarus,Post-Market,Competent Authority,Documents on the financial aspect,,2022-07-15
BY,Belarus,Post-Market,Competent Authority,Proof of Insurance,,2022-07-15
BY,Belarus,Post-Market,Competent Authority,Agreement between the parties,,2022-07-15
BY,Belarus,Post-Market,Competent Authority,Permission to conduct a clinical trial,,2022-07-15
BY,Belarus,Post-Market,Competent Authority,"PI & other staffs Cvs, GCPs",,2022-07-15
BY,Belarus,Post-Market,Competent Authority,IFU ,,2022-07-15
BY,Belarus,Post-Market,Competent Authority,Invoices (postal receipts) for the supply of the investigated medical device and medical equipment,,2022-07-15
BY,Belarus,Post-Market,Competent Authority,Other documentations approve by the EC,,2022-07-15
BE,Belgium,Pre-Market,Competent Authority,COVER LETTER,It should be clearly mentioned which Belgian regulatory pathway is applicable: Consolidated opinion FAMHP and EC ,2022-07-15
BE,Belgium,Pre-Market,Competent Authority,List of documents submitted ,Template on website,2022-07-15
BE,Belgium,Pre-Market,Competent Authority,APPLICATION FORM,Template on website,2022-07-15
BE,Belgium,Pre-Market,Competent Authority,"CIP (with Annexes, version and date)",,2022-07-15
BE,Belgium,Pre-Market,Competent Authority,Synopsis,,2022-07-15
BE,Belgium,Pre-Market,Competent Authority,INVESTIGATOR’S BROCHURE (With annexes),,2022-07-15
BE,Belgium,Pre-Market,Competent Authority,Example of labels,,2022-07-15
BE,Belgium,Pre-Market,Competent Authority,LIST OF GENERAL SAFETY AND PERFORMANCE REQUIREMENTS,Template on website,2022-07-15
BE,Belgium,Pre-Market,Competent Authority,MANUFACTURER’S IFU,,2022-07-15
BE,Belgium,Pre-Market,Competent Authority,CLINICAL EVALUATION PLAN,,2022-07-15
BE,Belgium,Pre-Market,Competent Authority,PROOF OF INSURANCE,,2022-07-15
BE,Belgium,Pre-Market,Competent Authority,"PI Cvs, GCPs, & DOI ",,2022-07-15
BE,Belgium,Pre-Market,Competent Authority,SUITABILITY OF SITE(S),,2022-07-15
BE,Belgium,Pre-Market,Competent Authority,Agreements between parties,,2022-07-15
BE,Belgium,Pre-Market,Competent Authority,RECRUITMENT AND ADVERTISING,,2022-07-15
BE,Belgium,Pre-Market,Competent Authority,"PATIENT INFO, ICF AND ICF PROCEDURE",,2022-07-15
BE,Belgium,Pre-Market,Competent Authority,FINANCIAL AND OTHER ARRANGEMENTS,,2022-07-15
BE,Belgium,Pre-Market,Competent Authority,STATEMENT ON DATA PROTECTION,,2022-07-15
BE,Belgium,Pre-Market,Competent Authority,"If multinational, status on submission procedure(s) in other countries, including any approval or refusal letter if applicable.",,2022-07-15
BE,Belgium,Pre-Market,Competent Authority,CE certificate and manufacturer’s instructions for use of any comparator device used,,2022-07-15
BG,Bulgaria,Pre-Market,Competent Authority,Cover Letter ,,2022-07-15
BG,Bulgaria,Pre-Market,Competent Authority,Medical device identification data on paper & electronic carrier,,2022-07-15
BG,Bulgaria,Pre-Market,Competent Authority,Clinical investigation plan (CIP),"Contain purpose, scientific, technical and medical reasons for conduction, scope, methodology and organization of investigation and number of devices",2022-07-15
BG,Bulgaria,Pre-Market,Competent Authority,"PI Cvs, GCPs",,2022-07-15
BG,Bulgaria,Pre-Market,Competent Authority,Centres list,Name & address ,2022-07-15
BG,Bulgaria,Pre-Market,Competent Authority,IB,,2022-07-15
BG,Bulgaria,Pre-Market,Competent Authority,ICF & Patient information,,2022-07-15
BG,Bulgaria,Pre-Market,Competent Authority,Declaration by the manufacturer whether the device to be tested can be defined as a device," according the Art. 3, pp. 2, 3 or 4 of MDL",2022-07-15
BG,Bulgaria,Pre-Market,Competent Authority,Start and end date and schedule of investigation,,2022-07-15
BG,Bulgaria,Pre-Market,Competent Authority,Positive statement of Ethics Committee,submission to EC before,2022-07-15
BG,Bulgaria,Pre-Market,Competent Authority,"Declaration, that medical device is in conformity with essential requirement",,2022-07-15
BG,Bulgaria,Pre-Market,Competent Authority,Proof of insurance,,2022-07-15
BG,Bulgaria,Pre-Market,Competent Authority,Contracts between parties,,2022-07-15
BG,Bulgaria,Pre-Market,Competent Authority,Receipt of payment,Medical device law,2022-07-15
BG,Bulgaria,Post-Market,Competent Authority,Cover Letter ,,2022-07-15
BG,Bulgaria,Post-Market,Competent Authority,Medical device identification data on paper & electronic carrier,,2022-07-15
BG,Bulgaria,Post-Market,Competent Authority,Clinical investigation plan (CIP),"Contain purpose, scientific, technical and medical reasons for conduction, scope, methodology and organization of investigation and number of devices",2022-07-15
BG,Bulgaria,Post-Market,Competent Authority,"PI Cvs, GCPs",,2022-07-15
BG,Bulgaria,Post-Market,Competent Authority,Centres list,Name & address ,2022-07-15
BG,Bulgaria,Post-Market,Competent Authority,IB,,2022-07-15
BG,Bulgaria,Post-Market,Competent Authority,ICF & Patient information,,2022-07-15
BG,Bulgaria,Post-Market,Competent Authority,Declaration by the manufacturer whether the device to be tested can be defined as a device," according the Art. 3, pp. 2, 3 or 4 of MDL",2022-07-15
BG,Bulgaria,Post-Market,Competent Authority,Start and end date and schedule of investigation,,2022-07-15
BG,Bulgaria,Post-Market,Competent Authority,Positive statement of Ethics Committee,submission to EC before,2022-07-15
BG,Bulgaria,Post-Market,Competent Authority,"Declaration, that medical device is in conformity with essential requirement",,2022-07-15
BG,Bulgaria,Post-Market,Competent Authority,Proof of insurance,,2022-07-15
BG,Bulgaria,Post-Market,Competent Authority,Contracts between parties,,2022-07-15
BG,Bulgaria,Post-Market,Competent Authority,Receipt of payment,Medical device law,2022-07-15
CH,Switzerland,Pre-Market,Competent Authority,Authorisation aplication form,Download online ,2022-07-15
CH,Switzerland,Pre-Market,Competent Authority,Cover Letter,,2022-07-15
CH,Switzerland,Pre-Market,Competent Authority,interim EC opinion,,2022-07-15
CH,Switzerland,Pre-Market,Competent Authority,Foreign Competent Authority decision,If aplicable,2022-07-15
CH,Switzerland,Pre-Market,Competent Authority,CIP,,2022-07-15
CH,Switzerland,Pre-Market,Competent Authority,CRF,,2022-07-15
CH,Switzerland,Pre-Market,Competent Authority,ICF & patient information sheet,,2022-07-15
CH,Switzerland,Pre-Market,Competent Authority,Compliance with ISO 14155,,2022-07-15
CH,Switzerland,Pre-Market,Competent Authority,Up to date IB,,2022-07-15
CH,Switzerland,Pre-Market,Competent Authority,"IFU, if not integrated in IB",,2022-07-15
CH,Switzerland,Pre-Market,Competent Authority,Matrix of general safety and performance requirements and list of applicable standards,,2022-07-15
CH,Switzerland,Pre-Market,Competent Authority,"Confirmation that the documentation is being kept available in accordance with chapter III of Annex XV of the MDR for at least 10 years, 15 years in case of implants",,2022-07-15
CH,Switzerland,Pre-Market,Competent Authority,Proof of insurance,,2022-07-15
CH,Switzerland,Pre-Market,Competent Authority,Animal origin information ,If aplicable,2022-07-15
CH,Switzerland,Pre-Market,Competent Authority,MRI checklist,If aplicable,2022-07-15
CH,Switzerland,Pre-Market,Competent Authority,Ionising radiation information,If aplicable,2022-07-15
CH,Switzerland,Pre-Market,Competent Authority,Contract between Sponsor & manufacturer (if not the same one),,2022-07-15
CH,Switzerland,Pre-Market,Competent Authority,Trial center lists,Both in Switzerland and abroad,2022-07-15
CH,Switzerland,Pre-Market,Competent Authority,"PI CVs, GCPs; ",,2022-07-15
