Code,Country,Study,Submission,Documents,Note,Date
BH,Bahrain,Pre-Market,Competent Authority,Cover Letter,,2022-07-15
BH,Bahrain,Pre-Market,Competent Authority,Application Form,,2022-07-15
BH,Bahrain,Pre-Market,Competent Authority,Checklist documents,,2022-07-15
BH,Bahrain,Pre-Market,Competent Authority,Clinical trial registration in WHO-approved clinical trial registries,,2022-07-15
BH,Bahrain,Pre-Market,Competent Authority,CIP,Version number & date,2022-07-15
BH,Bahrain,Pre-Market,Competent Authority,IB,,2022-07-15
BH,Bahrain,Pre-Market,Competent Authority,Signature page of CIP,,2022-07-15
BH,Bahrain,Pre-Market,Competent Authority,Patient information & ICF,,2022-07-15
BH,Bahrain,Pre-Market,Competent Authority,Proof of insurance,,2022-07-15
BH,Bahrain,Pre-Market,Competent Authority,"PI & monitors CV, GCP",,2022-07-15
BH,Bahrain,Pre-Market,Competent Authority,License of the PI,A copy,2022-07-15
BH,Bahrain,Pre-Market,Competent Authority,Medical Malpractice Insurance certificate for Investigators,,2022-07-15
BH,Bahrain,Pre-Market,Competent Authority,Financial Disclosure and conflict of interests statements of the PI,,2022-07-15
BH,Bahrain,Pre-Market,Competent Authority,Delegation of authorization for CRO in Bahrain,,2022-07-15
BH,Bahrain,Pre-Market,Competent Authority,EC letter of approval,letters of approval are required prior to commencing the clinical trial activities.,2022-07-15
BH,Bahrain,Pre-Market,Competent Authority,"Copy of the agreements of PI, Sponsor",,2022-07-15
BH,Bahrain,Post-Market,Competent Authority,Cover Letter,,2022-07-15
BH,Bahrain,Post-Market,Competent Authority,Application Form,,2022-07-15
BH,Bahrain,Post-Market,Competent Authority,Checklist documents,,2022-07-15
BH,Bahrain,Post-Market,Competent Authority,Clinical trial registration in WHO-approved clinical trial registries,,2022-07-15
BH,Bahrain,Post-Market,Competent Authority,CIP,Version number & date,2022-07-15
BH,Bahrain,Post-Market,Competent Authority,Signature page of CIP,,2022-07-15
BH,Bahrain,Post-Market,Competent Authority,Patient information & ICF,,2022-07-15
BH,Bahrain,Post-Market,Competent Authority,Proof of insurance,,2022-07-15
BH,Bahrain,Post-Market,Competent Authority,"PI & monitors CV, GCP",,2022-07-15
BH,Bahrain,Post-Market,Competent Authority,License of the PI,A copy,2022-07-15
BH,Bahrain,Post-Market,Competent Authority,Medical Malpractice Insurance certificate for Investigators,,2022-07-15
BH,Bahrain,Post-Market,Competent Authority,Financial Disclosure and conflict of interests statements of the PI,,2022-07-15
BH,Bahrain,Post-Market,Competent Authority,Delegation of authorization for CRO in Bahrain,,2022-07-15
BH,Bahrain,Post-Market,Competent Authority,EC letter of approval,letters of approval are required at the time of submission for a no-objection letter.,2022-07-15
BH,Bahrain,Post-Market,Competent Authority,"Copy of the agreements of PI, Sponsor",,2022-07-15
CD,Democratic Republic of Congo,Pre-Market,Competent Authority,Same as EC documents,,2022-07-15
CD,Democratic Republic of Congo,Post-Market,Competent Authority,Same as EC documents,,2022-07-15
IL,Israel,Pre-Market,Competent Authority,Cover Letter,,2022-07-15
IL,Israel,Pre-Market,Competent Authority,Application Form,Form 1B (https://www.gov.il/he/departments/guides/protocol-of-medical-research-involving-human-subjects?chapterIndex=4),2022-07-15
IL,Israel,Pre-Market,Competent Authority,CIP,Version and Dated,2022-07-15
IL,Israel,Pre-Market,Competent Authority,Synopsis ,In Hebrew,2022-07-15
IL,Israel,Pre-Market,Competent Authority,Patient information and ICF,Adult Form 2; Parents of a Minor Form 3.1; Guardian ICF  Form 3.2,2022-07-15
IL,Israel,Pre-Market,Competent Authority,IB,,2022-07-15
IL,Israel,Pre-Market,Competent Authority,Product registration,if applicable,2022-07-15
IL,Israel,Pre-Market,Competent Authority,Entrepreneur commitment form,Form 4,2022-07-15
IL,Israel,Pre-Market,Competent Authority,Entrepreneur Questionnaire,"Form 5. The questionnaire is found in Appendix 2 to Procedure 14 , Chapter 3. ",2022-07-15
IL,Israel,Pre-Market,Competent Authority,Letter to the attending physician in the community,Form 11,2022-07-15
IL,Israel,Pre-Market,Competent Authority,Submission document declaration form (checklist),Form 9,2022-07-15
IL,Israel,Pre-Market,Competent Authority,Product quality file and production approvals under proper conditions,SUBMIT TO MOH ONLY,2022-07-15
IL,Israel,Pre-Market,Competent Authority,Meeting calendar ,https://www.gov.il/he/Departments/General/clinical-trials-medical-devices,2022-07-15
IL,Israel,Post-Market,Competent Authority,Cover Letter,,2022-07-15
IL,Israel,Post-Market,Competent Authority,Application Form,Form 1B (https://www.gov.il/he/departments/guides/protocol-of-medical-research-involving-human-subjects?chapterIndex=4),2022-07-15
IL,Israel,Post-Market,Competent Authority,CIP,Version and Dated,2022-07-15
IL,Israel,Post-Market,Competent Authority,Synopsis ,In Hebrew,2022-07-15
IL,Israel,Post-Market,Competent Authority,Patient information and ICF,Adult Form 2; Parents of a Minor Form 3.1; Guardian ICF  Form 3.2,2022-07-15
IL,Israel,Post-Market,Competent Authority,IB,,2022-07-15
IL,Israel,Post-Market,Competent Authority,Product registration/CE Mark ,CE mark compulsory,2022-07-15
IL,Israel,Post-Market,Competent Authority,Entrepreneur commitment form,Form 4,2022-07-15
IL,Israel,Post-Market,Competent Authority,Entrepreneur Questionnaire,"Form 5. The questionnaire is found in Appendix 2 to Procedure 14 , Chapter 3. ",2022-07-15
IL,Israel,Post-Market,Competent Authority,Letter to the attending physician in the community,Form 11,2022-07-15
IL,Israel,Post-Market,Competent Authority,Submission document declaration form (checklist),Form 9,2022-07-15
IL,Israel,Post-Market,Competent Authority,Product quality file and production approvals under proper conditions,SUBMIT TO MOH ONLY,2022-07-15
IL,Israel,Post-Market,Competent Authority,Meeting calendar ,https://www.gov.il/he/Departments/General/clinical-trials-medical-devices,2022-07-15
NG,Nigeria,Pre-Market,Competent Authority,Cover Letter,,2022-07-15
NG,Nigeria,Pre-Market,Competent Authority,Cover sheet,,2022-07-15
NG,Nigeria,Pre-Market,Competent Authority,Checklist,,2022-07-15
NG,Nigeria,Pre-Market,Competent Authority,Application Form,,2022-07-15
NG,Nigeria,Pre-Market,Competent Authority,Research Protocol,"INCLUDING RELEVANT APPENDICES, QUESTIONNAIRES, ETC",2022-07-15
NG,Nigeria,Pre-Market,Competent Authority,Patient Information (PIL) & ICF,Standardized Regulatory Authority’s contact details/wording to be added to PILs,2022-07-15
NG,Nigeria,Pre-Market,Competent Authority,Recruiment plan (if applicable),,2022-07-15
NG,Nigeria,Pre-Market,Competent Authority,IB,,2022-07-15
NG,Nigeria,Pre-Market,Competent Authority,"PI CV, GCP",Download form,2022-07-15
NG,Nigeria,Pre-Market,Competent Authority,PI/Sponsor/Monitors Declaration form,,2022-07-15
NG,Nigeria,Pre-Market,Competent Authority,Proof of insurance,,2022-07-15
NG,Nigeria,Pre-Market,Competent Authority,Proof of Malpractice insurance of study investigators (accidental insurance),,2022-07-15
NG,Nigeria,Pre-Market,Competent Authority,Ethics committee(s) approval (or) Copy of letter submitted to Ethics committee(s),,2022-07-15
NG,Nigeria,Pre-Market,Competent Authority,Financial Declaration,,2022-07-15
NG,Nigeria,Pre-Market,Competent Authority,"LABELLED CD-ROM (MS WORD OR RICH TEXT FORMAT)
List of files submitted on CD-ROM:",,2022-07-15
NG,Nigeria,Post-Market,Competent Authority,Cover Letter,,2022-07-15
NG,Nigeria,Post-Market,Competent Authority,Cover sheet,,2022-07-15
NG,Nigeria,Post-Market,Competent Authority,Checklist,,2022-07-15
NG,Nigeria,Post-Market,Competent Authority,Application Form,,2022-07-15
NG,Nigeria,Post-Market,Competent Authority,Research Protocol,"INCLUDING RELEVANT APPENDICES, QUESTIONNAIRES, ETC",2022-07-15
NG,Nigeria,Post-Market,Competent Authority,Patient Information (PIL) & ICF,Standardized Regulatory Authority’s contact details/wording to be added to PILs,2022-07-15
NG,Nigeria,Post-Market,Competent Authority,Recruiment plan (if applicable),,2022-07-15
NG,Nigeria,Post-Market,Competent Authority,IB,,2022-07-15
NG,Nigeria,Post-Market,Competent Authority,"PI CV, GCP",Download form,2022-07-15
NG,Nigeria,Post-Market,Competent Authority,PI/Sponsor/Monitors Declaration form,,2022-07-15
NG,Nigeria,Post-Market,Competent Authority,Proof of insurance,,2022-07-15
NG,Nigeria,Post-Market,Competent Authority,Proof of Malpractice insurance of study investigators (accidental insurance),,2022-07-15
NG,Nigeria,Post-Market,Competent Authority,CE mark certification,,2022-07-15
NG,Nigeria,Post-Market,Competent Authority,Ethics committee(s) approval (or) Copy of letter submitted to Ethics committee(s),,2022-07-15
NG,Nigeria,Post-Market,Competent Authority,Financial Declaration,,2022-07-15
NG,Nigeria,Post-Market,Competent Authority,"LABELLED CD-ROM (MS WORD OR RICH TEXT FORMAT)
List of files submitted on CD-ROM:",,2022-07-15
TR,Turkey,Pre-Market,Competent Authority,Application Form,Download Formula I from webpage,2022-07-15
TR,Turkey,Pre-Market,Competent Authority,G1. EC approval,,2022-07-15
TR,Turkey,Pre-Market,Competent Authority,G2. Manufacturer information about the product,,2022-07-15
TR,Turkey,Pre-Market,Competent Authority,G3. CIP,signed by the coordinator for multicenter studies and by the principal investigator for single-center studies.,2022-07-15
TR,Turkey,Pre-Market,Competent Authority,G4. Patient information and ICF,,2022-07-15
TR,Turkey,Pre-Market,Competent Authority,G5. CRF ,,2022-07-15
TR,Turkey,Pre-Market,Competent Authority,G6. IB,,2022-07-15
TR,Turkey,Pre-Market,Competent Authority,G7. Label example of the đevice,,2022-07-15
TR,Turkey,Pre-Market,Competent Authority,G8. IFU,,2022-07-15
TR,Turkey,Pre-Market,Competent Authority,G9. Proof of insurance,,2022-07-15
TR,Turkey,Pre-Market,Competent Authority,G10. Research budget ,,2022-07-15
TR,Turkey,Pre-Market,Competent Authority,G11. Notarized circular of signature of the sponsor,,2022-07-15
TR,Turkey,Pre-Market,Competent Authority,"G12. PI CV, GCP",,2022-07-15
TR,Turkey,Pre-Market,Competent Authority,G14. Other authorization documents,,2022-07-15
TR,Turkey,Pre-Market,Competent Authority,G15. Patient card/diary,,2022-07-15
TR,Turkey,Post-Market,Competent Authority,Application Form,Download Formula I (invasive)/ Formula 3 (Observational study)  from webpage,2022-07-15
TR,Turkey,Post-Market,Competent Authority,G1. EC approval,,2022-07-15
TR,Turkey,Post-Market,Competent Authority,G2. Manufacturer information about the product,Only in Formular I,2022-07-15
TR,Turkey,Post-Market,Competent Authority,G3. CIP,signed by the coordinator for multicenter studies and by the principal investigator for single-center studies.,2022-07-15
TR,Turkey,Post-Market,Competent Authority,G4. Patient information and ICF,,2022-07-15
TR,Turkey,Post-Market,Competent Authority,G5. CRF ,,2022-07-15
TR,Turkey,Post-Market,Competent Authority,G6. IB,Only in Formula I,2022-07-15
TR,Turkey,Post-Market,Competent Authority,G7. Label example of the đevice,Only in Formula I,2022-07-15
TR,Turkey,Post-Market,Competent Authority,G8. IFU,Only in Formula I,2022-07-15
TR,Turkey,Post-Market,Competent Authority,G9. Proof of insurance,,2022-07-15
TR,Turkey,Post-Market,Competent Authority,G10. Research budget ,,2022-07-15
TR,Turkey,Post-Market,Competent Authority,G11. Notarized circular of signature of the sponsor,,2022-07-15
TR,Turkey,Post-Market,Competent Authority,"G12. PI CV, GCP",,2022-07-15
TR,Turkey,Post-Market,Competent Authority,G14. Other authorization documents,,2022-07-15
TR,Turkey,Post-Market,Competent Authority,G15. Patient card/diary,,2022-07-15
BH,Bahrain,Pre-Market,Ethics Committee,Cover Letter,signed by the applicant,2022-07-15
BH,Bahrain,Pre-Market,Ethics Committee,Application Form,Dated & signed,2022-07-15
BH,Bahrain,Pre-Market,Ethics Committee,"PI CV, GCP",,2022-07-15
BH,Bahrain,Pre-Market,Ethics Committee,CIP,"Date, version & all amendments",2022-07-15
BH,Bahrain,Pre-Market,Ethics Committee,IB,,2022-07-15
BH,Bahrain,Pre-Market,Ethics Committee,Patient information & ICF,Arabic & English,2022-07-15
BH,Bahrain,Pre-Market,Ethics Committee,Recuitment plan,,2022-07-15
BH,Bahrain,Pre-Market,Ethics Committee,Proof of insurance,,2022-07-15
BH,Bahrain,Pre-Market,Ethics Committee,Financial agreements,,2022-07-15
BH,Bahrain,Post-Market,Ethics Committee,Cover Letter,signed by the applicant,2022-07-15
BH,Bahrain,Post-Market,Ethics Committee,Application Form,Dated & signed,2022-07-15
BH,Bahrain,Post-Market,Ethics Committee,"PI CV, GCP",,2022-07-15
BH,Bahrain,Post-Market,Ethics Committee,CIP,"Date, version & all amendments",2022-07-15
BH,Bahrain,Post-Market,Ethics Committee,IB,,2022-07-15
BH,Bahrain,Post-Market,Ethics Committee,Patient information & ICF,Arabic & English,2022-07-15
BH,Bahrain,Post-Market,Ethics Committee,Recuitment plan,,2022-07-15
BH,Bahrain,Post-Market,Ethics Committee,Proof of insurance,,2022-07-15
BH,Bahrain,Post-Market,Ethics Committee,Financial agreements,,2022-07-15
BD,Bangladesh,Pre-Market,Ethics Committee,Cover Letter,Dedicated to Director for Ethical Clearance,2022-07-15
BD,Bangladesh,Pre-Market,Ethics Committee,Ethical Clearance Application,Form available on website,2022-07-15
BD,Bangladesh,Pre-Market,Ethics Committee,Signature of Principal Investigator (s) & Co-investigator (s) with details address,Annex A guide document,2022-07-15
BD,Bangladesh,Pre-Market,Ethics Committee,Research Protocol,,2022-07-15
BD,Bangladesh,Pre-Market,Ethics Committee,Synopsis (study Abstract),,2022-07-15
BD,Bangladesh,Pre-Market,Ethics Committee,BMRC format for Submission of the Proposal for Ethical Approval,,2022-07-15
BD,Bangladesh,Pre-Market,Ethics Committee,Patient information and ICF,in Bangla & English,2022-07-15
BD,Bangladesh,Pre-Market,Ethics Committee,Questionnaires,in Bangla & English,2022-07-15
BD,Bangladesh,Pre-Market,Ethics Committee,GDPR ,,2022-07-15
BD,Bangladesh,Pre-Market,Ethics Committee,Budget plan ,Annex E guide document,2022-07-15
BD,Bangladesh,Pre-Market,Ethics Committee,Copy of approval from other valid scientific review committee.,If applicable,2022-07-15
BD,Bangladesh,Pre-Market,Ethics Committee,Proof of payment,,2022-07-15
BD,Bangladesh,Post-Market,Ethics Committee,Cover Letter,Dedicated to Director for Ethical Clearance,2022-07-15
BD,Bangladesh,Post-Market,Ethics Committee,Ethical Clearance Application,Form available on website,2022-07-15
BD,Bangladesh,Post-Market,Ethics Committee,Signature of Principal Investigator (s) & Co-investigator (s) with details address,Annex A guide document,2022-07-15
BD,Bangladesh,Post-Market,Ethics Committee,Research Protocol,,2022-07-15
BD,Bangladesh,Post-Market,Ethics Committee,Synopsis (study Abstract),,2022-07-15
BD,Bangladesh,Post-Market,Ethics Committee,BMRC format for Submission of the Proposal for Ethical Approval,,2022-07-15
BD,Bangladesh,Post-Market,Ethics Committee,Patient information and ICF,in Bangla & English,2022-07-15
BD,Bangladesh,Post-Market,Ethics Committee,Questionnaires,in Bangla & English,2022-07-15
BD,Bangladesh,Post-Market,Ethics Committee,CE mark certificate ,,2022-07-15
BD,Bangladesh,Post-Market,Ethics Committee,GDPR ,,2022-07-15
BD,Bangladesh,Post-Market,Ethics Committee,Budget plan ,Annex E guide document,2022-07-15
BD,Bangladesh,Post-Market,Ethics Committee,Copy of approval from other valid scientific review committee.,If applicable,2022-07-15
BD,Bangladesh,Post-Market,Ethics Committee,Proof of payment,,2022-07-15
BW,Botswana,Pre-Market,Ethics Committee,Cover Letter,,2022-07-15
BW,Botswana,Pre-Market,Ethics Committee,Fully completed application,Section 1-3,2022-07-15
BW,Botswana,Pre-Market,Ethics Committee,Research protocol,,2022-07-15
BW,Botswana,Pre-Market,Ethics Committee,IB,,2022-07-15
BW,Botswana,Pre-Market,Ethics Committee,Patient information and ICF,Presented inside protocol,2022-07-15
BW,Botswana,Pre-Market,Ethics Committee,Patient questionnaires,Presented inside protocol,2022-07-15
BW,Botswana,Pre-Market,Ethics Committee,"PI CV, GCP",,2022-07-15
BW,Botswana,Pre-Market,Ethics Committee,"Other team members CV, GCP",,2022-07-15
