Code,Country,Study,Submission,Documents,Note,Date
AE,United Arab Emirates,Pre-Market,CA,Cover Letter on headed paper,Addressed by Principal Investigator to Dubai Scientific research Ethics Committee),2022-07-03
AE,United Arab Emirates,Pre-Market,CA,Application form,Download from webpage,2022-07-03
AE,United Arab Emirates,Pre-Market,CA,CIP & all curents admendments,,2022-07-03
AE,United Arab Emirates,Pre-Market,CA,Synopsis ,in EN,2022-07-03
AE,United Arab Emirates,Pre-Market,CA,CRF,,2022-07-03
AE,United Arab Emirates,Pre-Market,CA,IB,,2022-07-03
AE,United Arab Emirates,Pre-Market,CA,PI have to obtain HOD signature,If multicenter study,2022-07-03
AE,United Arab Emirates,Pre-Market,CA,Approval from Head of Department and CEO of hospital,If study is conduct in Dubai Hospitals. contact Dubai Hospital Professional Development Office DHPDO@dha.gov.ae to know more.,2022-07-03
AE,United Arab Emirates,Pre-Market,CA,Approval is required to be obtained from Director of Primary health Care Centers,If Study is conducting at DHA Primary health Care Centers. Contact PHCC Professional Development Office.,2022-07-03
AE,United Arab Emirates,Pre-Market,CA,CIP,,2022-07-03
AE,United Arab Emirates,Pre-Market,CA,Synopsis,,2022-07-03
AE,United Arab Emirates,Pre-Market,CA,Patient Information and Informed Consent,EN & ARABIC. Template available ,2022-07-03
AE,United Arab Emirates,Pre-Market,CA,All Data collection Forms,"Patient diary, cards, questionnaires …",2022-07-03
AE,United Arab Emirates,Pre-Market,CA,Budget plan,,2022-07-03
AE,United Arab Emirates,Pre-Market,CA,Financial Disclosure of Principal Investigator.,,2022-07-03
AE,United Arab Emirates,Pre-Market,CA,Agreements between parties,to be digned by the PI,2022-07-03
AE,United Arab Emirates,Pre-Market,CA,"PI CV, GCP",,2022-07-03
AE,United Arab Emirates,Pre-Market,CA,Proof of insurance ,,2022-07-03
AE,United Arab Emirates,Pre-Market,CA,CE-mark certification,,2022-07-03
AE,United Arab Emirates,Pre-Market,CA,Payment ,,2022-07-03
AE,United Arab Emirates,Post-Market,CA,If non-interventional trial. ,EC submission & evaluation. CA notification only,2022-07-03
AE,United Arab Emirates,Post-Market,CA,"If interventional, same as in pre-market",,2022-07-03
AU,Australia,Pre-Market,CA,The application Part 1,Download from web,2022-07-03
AU,Australia,Pre-Market,CA,Application fee,https://www.tga.gov.au/fees-and-charges-summary-1-december-2021,2022-07-03
AU,Australia,Pre-Market,CA,Sponsor statement,,2022-07-03
AU,Australia,Pre-Market,CA,Section 3: Medical devices details,"description of the device; details of design, composition, specification, mode of action and application; and method of use.",2022-07-03
AU,Australia,Pre-Market,CA,Instruction for sending part 1,The CTA application form can be emailed to us. Supporting data for the CTA application should be provided in electronic format. It is preferable for data to be sent on USB or CD-ROM via post.,2022-07-03
AU,Australia,Pre-Market,CA,The application Part 2,Download from web,2022-07-03
AU,Australia,Pre-Market,CA,1.5 Site sustainability,Completed by the sponsor,2022-07-03
AU,Australia,Pre-Market,CA,1.6 Sponsor certification,Completed by the sponsor,2022-07-03
AU,Australia,Pre-Market,CA,section 2,Completed by the sponsor,2022-07-03
AU,Australia,Pre-Market,CA,Instruction for sending part 2,This form must be sent to the Therapeutic Goods Administration within 28 days of commencing supply of the goods. Send to: The Medical Advisor Experimental Drugs Section Office of Scientific Evaluation Therapeutic Goods Administration PO Box 100 Woden ACT 2606 Australia,2022-07-03
AU,Australia,Post-Market,CA,The application Part 1,Download from web,2022-07-03
AU,Australia,Post-Market,CA,Application fee,https://www.tga.gov.au/fees-and-charges-summary-1-december-2021,2022-07-03
AU,Australia,Post-Market,CA,Sponsor statement,,2022-07-03
AU,Australia,Post-Market,CA,Section 3: Medical devices details,"description of the device; details of design, composition, specification, mode of action and application; and method of use.",2022-07-03
AU,Australia,Post-Market,CA,Instruction for sending part 1,The CTA application form can be emailed to us. Supporting data for the CTA application should be provided in electronic format. It is preferable for data to be sent on USB or CD-ROM via post.,2022-07-03
AU,Australia,Post-Market,CA,The application Part 2,Download from web,2022-07-03
AU,Australia,Post-Market,CA,1.5 Site sustainability,Completed by the sponsor,2022-07-03
AU,Australia,Post-Market,CA,1.6 Sponsor certification,Completed by the sponsor,2022-07-03
AU,Australia,Post-Market,CA,section 2,Completed by the sponsor,2022-07-03
