Code,Country,Study,Submission,Documents,Note,Date
AT,Austria,Pre-Market,CA,Application Form ,Download from webpage: https://applicationform.basg.gv.at/mpgform/faces/main. In PDF (signed electronically or scanned signed original) and XML ,2022-06-30
AT,Austria,Pre-Market,CA,CIP,With version number and date; compiled according to EN ISO 14155,2022-06-30
AT,Austria,Pre-Market,CA,IB,,2022-06-30
AT,Austria,Pre-Market,CA,IFU,German ,2022-06-30
AT,Austria,Pre-Market,CA,Favorable opinion of the EC,,2022-06-30
AT,Austria,Pre-Market,CA,Patient information and ICF,,2022-06-30
AT,Austria,Pre-Market,CA,Insurance coverage,,2022-06-30
AT,Austria,Pre-Market,CA,Written confirmation that the medical device complies with the essential requirements of the applicable Directive in all aspects except those that will be assessed in the CI,Directive 93/42/EEC Annex I &  Directive 90/385/EEC Annex 1,2022-06-30
AT,Austria,Pre-Market,CA,Declaration of conformity of the manufacturer,,2022-06-30
AT,Austria,Pre-Market,CA,CE marking certificate,,2022-06-30
AT,Austria,Pre-Market,CA,"PI CVs, GCPs",Dated and signed,2022-06-30
AT,Austria,Pre-Market,CA,"Written agreements between the sponsor, monitor, and clinical investigator establishing each party’s responsibilities",,2022-06-30
AT,Austria,Pre-Market,CA,CRF,,2022-06-30
AT,Austria,Pre-Market,CA,"Information on the construction and manufacture of the device, especially sterilisation",,2022-06-30
AT,Austria,Pre-Market,CA,"Results of construction calculations, assessments, technical tests, etc.",,2022-06-30
AT,Austria,Pre-Market,CA,Results of the risk analysis,"Risk analysis, risk minimisation measures See EN ISO 14971",2022-06-30
AT,Austria,Post-Market,CA,Application Form ,Download from webpage: https://applicationform.basg.gv.at/mpgform/faces/main. In PDF (signed electronically or scanned signed original) and XML ,2022-06-30
AT,Austria,Post-Market,CA,CIP,With version number and date; compiled according to EN ISO 14155,2022-06-30
AT,Austria,Post-Market,CA,IB,,2022-06-30
AT,Austria,Post-Market,CA,IFU,German ,2022-06-30
AT,Austria,Post-Market,CA,Favorable opinion of the EC,,2022-06-30
AT,Austria,Post-Market,CA,Patient information and ICF,,2022-06-30
AT,Austria,Post-Market,CA,Insurance coverage,,2022-06-30
AT,Austria,Post-Market,CA,Written confirmation that the medical device complies with the essential requirements of the applicable Directive in all aspects except those that will be assessed in the CI,Directive 93/42/EEC Annex I &  Directive 90/385/EEC Annex 1,2022-06-30
AT,Austria,Post-Market,CA,Declaration of conformity of the manufacturer,,2022-06-30
AT,Austria,Post-Market,CA,CE marking certificate,,2022-06-30
AT,Austria,Post-Market,CA,"PI CVs, GCPs",Dated and signed,2022-06-30
AT,Austria,Post-Market,CA,"Written agreements between the sponsor, monitor, and clinical investigator establishing each party’s responsibilities",,2022-06-30
AT,Austria,Post-Market,CA,CRF,,2022-06-30
AT,Austria,Post-Market,CA,"Information on the construction and manufacture of the device, especially sterilisation",,2022-06-30
AT,Austria,Post-Market,CA,"Results of construction calculations, assessments, technical tests, etc.",,2022-06-30
AT,Austria,Post-Market,CA,Results of the risk analysis,"Risk analysis, risk minimisation measures See EN ISO 14971",2022-06-30
BY,Belarus,Pre-Market,CA,Register the device in the national system,Download form on webpgae. https://rceth.by/ru/Documents/Med/1 ,2022-06-30
BY,Belarus,Pre-Market,CA,Guide for researcher= IB,,2022-06-30
BY,Belarus,Pre-Market,CA,Protocol & amendments ,Dated and signed,2022-06-30
BY,Belarus,Pre-Market,CA,ICF in local language,,2022-06-30
BY,Belarus,Pre-Market,CA,Subjects recruiment,,2022-06-30
BY,Belarus,Pre-Market,CA,Documents on the financial aspect,,2022-06-30
BY,Belarus,Pre-Market,CA,Proof of Insurance,,2022-06-30
BY,Belarus,Pre-Market,CA,Agreement between the parties,,2022-06-30
BY,Belarus,Pre-Market,CA,Permission to conduct a clinical trial,,2022-06-30
BY,Belarus,Pre-Market,CA,"PI & other staffs Cvs, GCPs",,2022-06-30
BY,Belarus,Pre-Market,CA,IFU ,,2022-06-30
BY,Belarus,Pre-Market,CA,Invoices (postal receipts) for the supply of the investigated medical device and medical equipment,,2022-06-30
BY,Belarus,Pre-Market,CA,Other documentations approve by the EC,,2022-06-30
BY,Belarus,Post-Market,CA,Register the device in the national system,Download form on webpgae. https://rceth.by/ru/Documents/Med/1 ,2022-06-30
BY,Belarus,Post-Market,CA,Guide for researcher= IB,,2022-06-30
BY,Belarus,Post-Market,CA,Protocol & amendments ,Dated and signed,2022-06-30
BY,Belarus,Post-Market,CA,ICF in local language,,2022-06-30
BY,Belarus,Post-Market,CA,Subjects recruiment,,2022-06-30
BY,Belarus,Post-Market,CA,Documents on the financial aspect,,2022-06-30
BY,Belarus,Post-Market,CA,Proof of Insurance,,2022-06-30
BY,Belarus,Post-Market,CA,Agreement between the parties,,2022-06-30
BY,Belarus,Post-Market,CA,Permission to conduct a clinical trial,,2022-06-30
BY,Belarus,Post-Market,CA,"PI & other staffs Cvs, GCPs",,2022-06-30
BY,Belarus,Post-Market,CA,IFU ,,2022-06-30
BY,Belarus,Post-Market,CA,Invoices (postal receipts) for the supply of the investigated medical device and medical equipment,,2022-06-30
BY,Belarus,Post-Market,CA,Other documentations approve by the EC,,2022-06-30
BE,Belgium,Pre-Market,CA,COVER LETTER,It should be clearly mentioned which Belgian regulatory pathway is applicable: Consolidated opinion FAMHP and EC ,2022-06-30
BE,Belgium,Pre-Market,CA,List of documents submitted ,Template on website,2022-06-30
BE,Belgium,Pre-Market,CA,APPLICATION FORM,Template on website,2022-06-30
BE,Belgium,Pre-Market,CA,"CIP (with Annexes, version and date)",,2022-06-30
BE,Belgium,Pre-Market,CA,Synopsis,,2022-06-30
BE,Belgium,Pre-Market,CA,INVESTIGATOR’S BROCHURE (With annexes),,2022-06-30
BE,Belgium,Pre-Market,CA,Example of labels,,2022-06-30
BE,Belgium,Pre-Market,CA,LIST OF GENERAL SAFETY AND PERFORMANCE REQUIREMENTS,Template on website,2022-06-30
BE,Belgium,Pre-Market,CA,MANUFACTURER’S IFU,,2022-06-30
BE,Belgium,Pre-Market,CA,CLINICAL EVALUATION PLAN,,2022-06-30
BE,Belgium,Pre-Market,CA,PROOF OF INSURANCE,,2022-06-30
BE,Belgium,Pre-Market,CA,"PI Cvs, GCPs, & DOI ",,2022-06-30
BE,Belgium,Pre-Market,CA,SUITABILITY OF SITE(S),,2022-06-30
BE,Belgium,Pre-Market,CA,Agreements between parties,,2022-06-30
BE,Belgium,Pre-Market,CA,RECRUITMENT AND ADVERTISING,,2022-06-30
BE,Belgium,Pre-Market,CA,"PATIENT INFO, ICF AND ICF PROCEDURE",,2022-06-30
BE,Belgium,Pre-Market,CA,FINANCIAL AND OTHER ARRANGEMENTS,,2022-06-30
BE,Belgium,Pre-Market,CA,STATEMENT ON DATA PROTECTION,,2022-06-30
BE,Belgium,Pre-Market,CA,"If multinational, status on submission procedure(s) in other countries, including any approval or refusal letter if applicable.",,2022-06-30
BE,Belgium,Pre-Market,CA,CE certificate and manufacturer’s instructions for use of any comparator device used,,2022-06-30
BG,Bulgaria,Pre-Market,CA,Cover Letter ,,2022-06-30
BG,Bulgaria,Pre-Market,CA,Medical device identification data on paper & electronic carrier,,2022-06-30
BG,Bulgaria,Pre-Market,CA,Clinical investigation plan (CIP),"Contain purpose, scientific, technical and medical reasons for conduction, scope, methodology and organization of investigation and number of devices",2022-06-30
BG,Bulgaria,Pre-Market,CA,"PI Cvs, GCPs",,2022-06-30
BG,Bulgaria,Pre-Market,CA,Centres list,Name & address ,2022-06-30
BG,Bulgaria,Pre-Market,CA,IB,,2022-06-30
BG,Bulgaria,Pre-Market,CA,ICF & Patient information,,2022-06-30
BG,Bulgaria,Pre-Market,CA,Declaration by the manufacturer whether the device to be tested can be defined as a device," according the Art. 3, pp. 2, 3 or 4 of MDL",2022-06-30
BG,Bulgaria,Pre-Market,CA,Start and end date and schedule of investigation,,2022-06-30
BG,Bulgaria,Pre-Market,CA,Positive statement of Ethics Committee,submission to EC before,2022-06-30
BG,Bulgaria,Pre-Market,CA,"Declaration, that medical device is in conformity with essential requirement",,2022-06-30
BG,Bulgaria,Pre-Market,CA,Proof of insurance,,2022-06-30
BG,Bulgaria,Pre-Market,CA,Contracts between parties,,2022-06-30
BG,Bulgaria,Pre-Market,CA,Receipt of payment,Medical device law,2022-06-30
BG,Bulgaria,Post-Market,CA,Cover Letter ,,2022-06-30
BG,Bulgaria,Post-Market,CA,Medical device identification data on paper & electronic carrier,,2022-06-30
BG,Bulgaria,Post-Market,CA,Clinical investigation plan (CIP),"Contain purpose, scientific, technical and medical reasons for conduction, scope, methodology and organization of investigation and number of devices",2022-06-30
BG,Bulgaria,Post-Market,CA,"PI Cvs, GCPs",,2022-06-30
BG,Bulgaria,Post-Market,CA,Centres list,Name & address ,2022-06-30
BG,Bulgaria,Post-Market,CA,IB,,2022-06-30
BG,Bulgaria,Post-Market,CA,ICF & Patient information,,2022-06-30
BG,Bulgaria,Post-Market,CA,Declaration by the manufacturer whether the device to be tested can be defined as a device," according the Art. 3, pp. 2, 3 or 4 of MDL",2022-06-30
BG,Bulgaria,Post-Market,CA,Start and end date and schedule of investigation,,2022-06-30
BG,Bulgaria,Post-Market,CA,Positive statement of Ethics Committee,submission to EC before,2022-06-30
BG,Bulgaria,Post-Market,CA,"Declaration, that medical device is in conformity with essential requirement",,2022-06-30
BG,Bulgaria,Post-Market,CA,Proof of insurance,,2022-06-30
BG,Bulgaria,Post-Market,CA,Contracts between parties,,2022-06-30
BG,Bulgaria,Post-Market,CA,Receipt of payment,Medical device law,2022-06-30
CH,Switzerland,Pre-Market,CA,Authorisation aplication form,Download online ,2022-06-30
CH,Switzerland,Pre-Market,CA,Cover Letter,,2022-06-30
CH,Switzerland,Pre-Market,CA,interim EC opinion,,2022-06-30
CH,Switzerland,Pre-Market,CA,Foreign Competent Authority decision,If aplicable,2022-06-30
CH,Switzerland,Pre-Market,CA,CIP,,2022-06-30
