Code,Country,Study,Submission,Documents,Note,Version,Date
AT,Austria,Pre-Market,Competent Authority,Application Form ,Download from webpage: https://applicationform.basg.gv.at/mpgform/faces/main. In PDF (signed electronically or scanned signed original) and XML ,1.0,2022-04-29
AT,Austria,Pre-Market,Competent Authority,CIP,With version number and date; compiled according to EN ISO 14155,1.0,2022-04-29
AT,Austria,Pre-Market,Competent Authority,IB,,1.0,2022-04-29
AT,Austria,Pre-Market,Competent Authority,IFU,German ,1.0,2022-04-29
AT,Austria,Pre-Market,Competent Authority,Favorable opinion of the EC,,1.0,2022-04-29
AT,Austria,Pre-Market,Competent Authority,Patient information and ICF,,1.0,2022-04-29
AT,Austria,Pre-Market,Competent Authority,Insurance coverage,,1.0,2022-04-29
AT,Austria,Pre-Market,Competent Authority,Written confirmation that the medical device complies with the essential requirements of the applicable Directive in all aspects except those that will be assessed in the CI,Directive 93/42/EEC Annex I &  Directive 90/385/EEC Annex 1,1.0,2022-04-29
AT,Austria,Pre-Market,Competent Authority,Declaration of conformity of the manufacturer,,1.0,2022-04-29
AT,Austria,Pre-Market,Competent Authority,CE marking certificate,,1.0,2022-04-29
AT,Austria,Pre-Market,Competent Authority,"PI CVs, GCPs",Dated and signed,1.0,2022-04-29
AT,Austria,Pre-Market,Competent Authority,"Written agreements between the sponsor, monitor, and clinical investigator establishing each party’s responsibilities",,1.0,2022-04-29
AT,Austria,Pre-Market,Competent Authority,CRF,,1.0,2022-04-29
AT,Austria,Pre-Market,Competent Authority,"Information on the construction and manufacture of the device, especially sterilisation",,1.0,2022-04-29
AT,Austria,Pre-Market,Competent Authority,"Results of construction calculations, assessments, technical tests, etc.",,1.0,2022-04-29
AT,Austria,Pre-Market,Competent Authority,Results of the risk analysis,"Risk analysis, risk minimisation measures See EN ISO 14971",1.0,2022-04-29
AT,Austria,Post-Market,Competent Authority,Application Form ,Download from webpage: https://applicationform.basg.gv.at/mpgform/faces/main. In PDF (signed electronically or scanned signed original) and XML ,1.0,2022-04-29
AT,Austria,Post-Market,Competent Authority,CIP,With version number and date; compiled according to EN ISO 14155,1.0,2022-04-29
AT,Austria,Post-Market,Competent Authority,IB,,1.0,2022-04-29
AT,Austria,Post-Market,Competent Authority,IFU,German ,1.0,2022-04-29
AT,Austria,Post-Market,Competent Authority,Favorable opinion of the EC,,1.0,2022-04-29
AT,Austria,Post-Market,Competent Authority,Patient information and ICF,,1.0,2022-04-29
AT,Austria,Post-Market,Competent Authority,Insurance coverage,,1.0,2022-04-29
AT,Austria,Post-Market,Competent Authority,Written confirmation that the medical device complies with the essential requirements of the applicable Directive in all aspects except those that will be assessed in the CI,Directive 93/42/EEC Annex I &  Directive 90/385/EEC Annex 1,1.0,2022-04-29
AT,Austria,Post-Market,Competent Authority,Declaration of conformity of the manufacturer,,1.0,2022-04-29
AT,Austria,Post-Market,Competent Authority,CE marking certificate,,1.0,2022-04-29
AT,Austria,Post-Market,Competent Authority,"PI CVs, GCPs",Dated and signed,1.0,2022-04-29
AT,Austria,Post-Market,Competent Authority,"Written agreements between the sponsor, monitor, and clinical investigator establishing each party’s responsibilities",,1.0,2022-04-29
AT,Austria,Post-Market,Competent Authority,CRF,,1.0,2022-04-29
AT,Austria,Post-Market,Competent Authority,"Information on the construction and manufacture of the device, especially sterilisation",,1.0,2022-04-29
AT,Austria,Post-Market,Competent Authority,"Results of construction calculations, assessments, technical tests, etc.",,1.0,2022-04-29
AT,Austria,Post-Market,Competent Authority,Results of the risk analysis,"Risk analysis, risk minimisation measures See EN ISO 14971",1.0,2022-04-29
